"_id","nowfloor","destination","num"
"00001-01",1,6,12
"00001-02",2,17,7
"00001-03",3,16,4
"00001-04",4,21,9
"00001-05",5,23,6
"00001-06",6,22,10
"00001-07",7,11,13
"00001-08",8,7,5
"00001-09",9,1,7
"00001-10",10,24,14
"00001-11",11,10,5
"00001-12",12,26,8
"00001-13",13,27,14
"00001-14",14,8,3
"00001-15",15,13,8
"00001-16",16,25,6
"00001-17",17,4,13
"00001-18",18,12,7
"00001-19",19,20,11
"00001-20",20,18,4
"00001-21",21,5,14
"00001-22",22,9,6
"00001-23",23,14,6
"00001-24",24,15,12
"00001-25",25,3,12
"00001-26",26,19,7
"00001-27",27,2,12
"00002-01",1,7,7
"00002-02",2,20,12
"00002-03",3,24,10
"00002-04",4,21,4
"00002-05",5,6,7
"00002-06",6,25,3
"00002-07",7,2,3
"00002-08",8,26,6
"00002-09",9,27,11
"00002-10",10,3,10
"00002-11",11,10,5
"00002-12",12,19,11
"00002-13",13,1,6
"00002-14",14,9,7
"00002-15",15,23,5
"00002-16",16,12,11
"00002-17",17,16,10
"00002-18",18,11,9
"00002-19",19,4,5
"00002-20",20,17,5
"00002-21",21,22,11
"00002-22",22,15,13
"00002-23",23,8,12
"00002-24",24,13,5
"00002-25",25,14,7
"00002-26",26,18,9
"00002-27",27,5,12
"00003-01",1,19,13
"00003-02",2,1,6
"00003-03",3,22,10
"00003-04",4,16,4
"00003-05",5,14,11
"00003-06",6,15,4
"00003-07",7,3,6
"00003-08",8,12,5
"00003-09",9,10,4
"00003-10",10,27,7
"00003-11",11,6,14
"00003-12",12,13,5
"00003-13",13,24,7
"00003-14",14,26,6
"00003-15",15,18,9
"00003-16",16,23,10
"00003-17",17,20,5
"00003-18",18,2,5
"00003-19",19,21,3
"00003-20",20,7,13
"00003-21",21,8,11
"00003-22",22,4,10
"00003-23",23,17,10
"00003-24",24,5,9
"00003-25",25,9,13
"00003-26",26,11,7
"00003-27",27,25,3
"00004-01",1,17,8
"00004-02",2,1,11
"00004-03",3,16,4
"00004-04",4,21,8
"00004-05",5,13,11
"00004-06",6,10,14
"00004-07",7,25,6
"00004-08",8,4,8
"00004-09",9,27,3
"00004-10",10,12,14
"00004-11",11,22,14
"00004-12",12,26,10
"00004-13",13,15,4
"00004-14",14,11,6
"00004-15",15,24,5
"00004-16",16,2,7
"00004-17",17,23,14
"00004-18",18,3,7
"00004-19",19,20,12
"00004-20",20,5,5
"00004-21",21,14,13
"00004-22",22,7,14
"00004-23",23,6,5
"00004-24",24,18,8
"00004-25",25,19,5
"00004-26",26,9,10
"00004-27",27,8,6
"00005-01",1,4,13
"00005-02",2,11,10
"00005-03",3,19,5
"00005-04",4,20,8
"00005-05",5,14,6
"00005-06",6,12,6
"00005-07",7,13,13
"00005-08",8,27,12
"00005-09",9,18,13
"00005-10",10,24,7
"00005-11",11,21,13
"00005-12",12,6,4
"00005-13",13,5,12
"00005-14",14,2,10
"00005-15",15,25,6
"00005-16",16,9,11
"00005-17",17,8,6
"00005-18",18,3,12
"00005-19",19,17,10
"00005-20",20,26,13
"00005-21",21,10,6
"00005-22",22,16,12
"00005-23",23,15,12
"00005-24",24,7,11
"00005-25",25,23,11
"00005-26",26,22,10
"00005-27",27,1,8
"00006-01",1,8,6
"00006-02",2,25,10
"00006-03",3,12,12
"00006-04",4,18,11
"00006-05",5,22,5
"00006-06",6,27,5
"00006-07",7,15,10
"00006-08",8,13,10
"00006-09",9,1,14
"00006-10",10,11,13
"00006-11",11,20,8
"00006-12",12,16,12
"00006-13",13,19,9
"00006-14",14,17,5
"00006-15",15,21,10
"00006-16",16,10,14
"00006-17",17,7,6
"00006-18",18,14,6
"00006-19",19,9,12
"00006-20",20,3,12
"00006-21",21,26,9
"00006-22",22,4,8
"00006-23",23,5,6
"00006-24",24,2,8
"00006-25",25,6,14
"00006-26",26,24,3
"00006-27",27,23,5
"00007-01",1,13,10
"00007-02",2,9,11
"00007-03",3,21,8
"00007-04",4,1,8
"00007-05",5,11,9
"00007-06",6,14,13
"00007-07",7,25,6
"00007-08",8,26,9
"00007-09",9,5,6
"00007-10",10,15,14
"00007-11",11,19,3
"00007-12",12,16,6
"00007-13",13,18,5
"00007-14",14,8,10
"00007-15",15,2,14
"00007-16",16,23,5
"00007-17",17,24,8
"00007-18",18,7,13
"00007-19",19,12,9
"00007-20",20,4,10
"00007-21",21,3,6
"00007-22",22,17,10
"00007-23",23,27,12
"00007-24",24,22,8
"00007-25",25,6,13
"00007-26",26,10,9
"00007-27",27,20,5
"00008-01",1,19,4
"00008-02",2,7,9
"00008-03",3,16,4
"00008-04",4,18,4
"00008-05",5,25,10
"00008-06",6,12,11
"00008-07",7,23,5
"00008-08",8,24,11
"00008-09",9,15,11
"00008-10",10,3,12
"00008-11",11,5,6
"00008-12",12,1,6
"00008-13",13,10,14
"00008-14",14,11,4
"00008-15",15,14,3
"00008-16",16,2,11
"00008-17",17,4,6
"00008-18",18,17,9
"00008-19",19,6,13
"00008-20",20,13,11
"00008-21",21,26,6
"00008-22",22,8,10
"00008-23",23,21,12
"00008-24",24,22,7
"00008-25",25,20,4
"00008-26",26,27,4
"00008-27",27,9,13
"00009-01",1,2,12
"00009-02",2,23,9
"00009-03",3,13,8
"00009-04",4,6,8
"00009-05",5,10,13
"00009-06",6,26,5
"00009-07",7,9,10
"00009-08",8,12,5
"00009-09",9,11,7
"00009-10",10,20,11
"00009-11",11,4,5
"00009-12",12,3,13
"00009-13",13,8,14
"00009-14",14,5,13
"00009-15",15,18,6
"00009-16",16,14,14
"00009-17",17,21,4
"00009-18",18,24,3
"00009-19",19,27,12
"00009-20",20,25,9
"00009-21",21,17,6
"00009-22",22,15,8
"00009-23",23,19,5
"00009-24",24,7,5
"00009-25",25,16,8
"00009-26",26,22,6
"00009-27",27,1,3
"00010-01",1,21,7
"00010-02",2,27,9
"00010-03",3,10,10
"00010-04",4,24,4
"00010-05",5,8,14
"00010-06",6,26,9
"00010-07",7,22,5
"00010-08",8,16,8
"00010-09",9,19,7
"00010-10",10,4,11
"00010-11",11,12,7
"00010-12",12,14,11
"00010-13",13,6,9
"00010-14",14,25,5
"00010-15",15,3,3
"00010-16",16,23,11
"00010-17",17,7,10
"00010-18",18,17,3
"00010-19",19,18,6
"00010-20",20,11,4
"00010-21",21,5,8
"00010-22",22,13,4
"00010-23",23,20,3
"00010-24",24,15,4
"00010-25",25,1,3
"00010-26",26,2,9
"00010-27",27,9,7
"00011-01",1,15,7
"00011-02",2,26,10
"00011-03",3,12,8
"00011-04",4,2,9
"00011-05",5,22,14
"00011-06",6,4,8
"00011-07",7,14,6
"00011-08",8,3,9
"00011-09",9,20,11
"00011-10",10,11,12
"00011-11",11,18,4
"00011-12",12,24,4
"00011-13",13,5,8
"00011-14",14,16,9
"00011-15",15,23,8
"00011-16",16,1,5
"00011-17",17,7,9
"00011-18",18,13,7
"00011-19",19,27,3
"00011-20",20,21,7
"00011-21",21,19,9
"00011-22",22,6,8
"00011-23",23,8,14
"00011-24",24,9,14
"00011-25",25,10,12
"00011-26",26,25,8
"00011-27",27,17,10
"00012-01",1,4,13
"00012-02",2,14,8
"00012-03",3,21,4
"00012-04",4,16,12
"00012-05",5,20,6
"00012-06",6,13,10
"00012-07",7,11,6
"00012-08",8,9,3
"00012-09",9,2,10
"00012-10",10,3,7
"00012-11",11,17,6
"00012-12",12,27,7
"00012-13",13,22,12
"00012-14",14,25,7
"00012-15",15,7,5
